Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who's playing in basketball today,320,91,0.00,0.00,29400000,Informational,"Instant answer, People also ask, Site links","0.00,0.00,0.00,0.07,0.00,0.39,0.59,0.72,0.14,0.72,1.00,0.00"
who's playing nba basketball today,320,78,2.36,0.01,84,Informational,"Image pack, People also ask, Reviews, Site links, Twitter","0.68,1.00,0.13,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.31,0.00"
a basketball game today,260,93,1.25,0.02,546000000,Informational,"Featured snippet, Site links","0.00,0.04,0.04,0.00,0.00,0.21,0.39,0.32,0.59,0.48,1.00,0.88"
did iowa state women's basketball win today,260,60,0.00,0.00,66,Informational,"Image pack, People also ask, Site links, Twitter, Video","1.00,0.00"
did usa basketball win today,260,82,0.00,0.00,81,Informational,"People also ask, Twitter, Video","0.00,0.62,1.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00"
what channel is iu basketball on today,260,61,0.00,0.00,85,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.03,0.03,0.03,0.17,0.17,0.48,0.72,1.00,0.01"
what channel is the badger basketball game on today,260,72,0.00,0.00,89,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter","0.00,1.00,0.04,0.04,0.04,0.44,0.29,0.29,0.36,1.00,0.01"
what channel is the ohio state basketball game on today,260,53,0.00,0.00,82,Informational,"People also ask, Reviews, Video","0.00,0.04,0.02,0.54,0.09,0.81,0.44,0.54,0.81,1.00,0.01"
what channel is the unc basketball game on today,260,65,1.67,0.01,80,Informational,"People also ask, Video","0.02,0.02,0.02,0.01,0.03,0.02,0.54,0.81,0.81,0.29,0.81,1.00"
what channel is the uva basketball game on today,260,52,1.50,0.01,91,Informational,"People also ask, Site links, Twitter","0.03,0.03,0.03,0.00,0.03,0.03,0.23,0.44,0.81,1.00,0.67,0.02"
what time are the ncaa basketball games today,260,65,0.32,0.01,142000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.30"
what time does michigan state basketball play today,260,74,0.00,0.00,76,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
what time does the gonzaga basketball game start today,260,60,0.00,0.00,90,Informational,"Featured snippet, People also ask, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.00"
what time does uk basketball play today,260,52,0.00,0.00,90,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.01,0.13,0.16,0.24,0.30,0.20,0.00"
what time does uk play basketball today,260,56,0.00,0.00,173000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.02,0.00,0.05,0.32,0.48,0.72,1.00,0.59,0.01"
what time does university of kentucky play basketball today,260,56,0.00,0.00,14900000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.01,0.11,0.20,0.20,0.30,0.16,0.00"
who won the basketball games today,260,92,0.00,0.00,159000000,Informational,"People also ask, Site links","0.48,1.00,0.21,0.01,0.00,0.09,0.09,0.14,0.14,0.11,0.59,0.72"
did florida state basketball team win today,210,67,0.00,0.00,65,Informational,"Image pack, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.39,0.72,0.00,1.00,0.01,0.01,0.00"
how can i watch uconn women's basketball today,210,61,0.49,0.17,88,Informational,"Featured snippet, People also ask, Reviews, Twitter, Video carousel","0.01,0.00,0.01,0.00,0.00,0.01,0.16,0.08,0.13,0.11,0.05,0.03"
how to watch villanova basketball today,210,67,1.05,0.18,4640000,Informational,"Featured snippet, People also ask, Twitter","0.01,0.04,1.00,0.19"
what basketball games on today,210,85,1.45,0.01,330000000,Informational,"Instant answer, People also ask, Site links","0.21,0.39,0.17,0.00,0.00,0.07,0.09,0.05,0.07,0.14,1.00,0.02"
what basketball team is playing today,210,77,1.24,0.01,419000000,Informational,"People also ask, Site links","0.54,1.00,0.19,0.03,0.04,0.23,0.44,0.00,0.00,0.04,0.05,0.05"
what basketball teams are playing today,210,77,1.24,0.01,227000000,Informational,"People also ask, Site links","0.66,1.00,0.23,0.04,0.05,0.36,0.54,0.06,0.06,0.09,0.29,0.19"
what channel is michigan state basketball on today,210,66,1.58,0.01,71,Informational,"Featured snippet, People also ask, Video","0.05,0.02,0.02,0.00,0.02,0.02,0.13,0.13,0.20,0.30,1.00,0.00"
what channel is ncaa basketball on today,210,89,0.97,0.01,150000000,Informational,"FAQ, Featured snippet, People also ask, Reviews","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.30"
what channel is the iowa women's basketball game on today,210,49,0.00,0.00,22100000,Informational,"People also ask, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.03,0.05,0.20,0.65,0.00"
what channel is uconn women's basketball on today,210,67,0.26,0.09,7220000,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.00,0.03,0.03,0.00,0.03,0.12,0.12,0.36,0.44,1.00,0.54"
what time are the basketball games on today,210,76,0.00,0.00,449000000,Informational,"People also ask, Site links","0.02,0.05,0.00,0.01,0.00,0.02,0.02,0.03,0.02,0.02,1.00,1.00"
what time does auburn play basketball today,210,60,0.00,0.00,87,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.16,0.01,0.01,0.01,0.01,0.00,0.01,0.03,0.06,0.36,1.00,0.00"
what time does tennessee play basketball today,210,62,0.00,0.00,97,Informational,"People also ask, Reviews, Site links, Video","0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.07,0.07,0.11,0.68,0.01"
what time does the basketball game come on today,210,80,0.00,0.00,599000000,Informational,"Instant answer, People also ask, Site links","0.13,1.00,0.55,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.05,0.16"
what time is the basketball game on today,210,82,0.00,0.00,473000000,Informational,"Instant answer, People also ask, Site links","0.18,1.00,0.81,0.03,0.03,0.05,0.03,0.03,0.05,0.03,1.00,0.81"
what time is the uk basketball game today,210,64,0.00,0.00,90,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.16,0.25,0.31,0.25,0.00"
